,35f96084a59be8_labelled,35f98283c97fa4_labelled,3603a2c8d630e8_labelled,360f70686ed3c2_labelled,36047578a646d8_labelled,35808080808080_labelled,36103c719a02b8_labelled,35f88eac597396_labelled,3610e92d3ff426_labelled,35fd53a205f032_labelled,3606012f7da94c_labelled,360ea61b204b08_labelled,3605480ff725aa_labelled
Business & Industrial,0.02487463971255972,0.02616673843198304,0.03258145363408521,0.025680534155110426,0.02606657738664626,0.028594367588932808,0.043343653250773995,0.022499400335811947,0.04396151293961513,0.03974380029561504,0.03980191238837816,0.022965551672491265,0.042678300455235206
Home & Garden,0.007383424803569313,0.00847934815011096,0.0072055137844611525,0.0030816640986132513,0.009804859383967858,0.012228260869565218,0.0030959752321981426,0.007819621012233149,0.014100862641008627,0.009032681885367055,0.016199984195137372,0.0074887668497254116,0.010053110773899848
Travel,0.016741027362103682,0.01874730880063595,0.03101503759398496,0.03338469440164355,0.015544289267266118,0.016180830039525692,0.0030959752321981426,0.04758934996402015,0.017086927670869275,0.017901133191000163,0.030002897558148722,0.006490264603095357,0.01896813353566009
Arts & Entertainment,0.16804201050262565,0.2532542810771422,0.21585213032581455,0.2110939907550077,0.27047063325043047,0.34881422924901184,0.16408668730650156,0.2853921803789878,0.10915726609157266,0.15798981770405648,0.1755920238126597,0.2476285571642536,0.11987860394537178
Sports,0.008488964346349746,0.01623000231857176,0.02443609022556391,0.2295839753466872,0.016022575090874305,0.015995553359683796,0.030959752321981424,0.01443991364835692,0.14051094890510948,0.0395795697158811,0.010431209335405527,0.008487269096355467,0.07549317147192716
Food & Drink,0.02965214987957516,0.06376072339438905,0.0043859649122807015,0.02362609142270159,0.0350583508704802,0.01840415019762846,0.006191950464396285,0.023650755576876948,0.038487060384870604,0.03054688783051404,0.02328583094065274,0.008487269096355467,0.01669195751138088
Pets & Animals,0.0018162435345678526,0.0020867145838163693,0.0003132832080200501,0.0005136106831022085,0.0054046298067725275,0.004261363636363636,0.0030959752321981426,0.005564883665147517,0.003981420039814201,0.0013138446378715717,0.003398045465321497,0.0024962556165751375,0.0011380880121396055
Health,0.026532949026730368,0.018482329170944983,0.014097744360902255,0.015408320493066256,0.016548689496843315,0.02149209486166008,0.04024767801857585,0.037035260254257615,0.08974784339747843,0.02414189522089013,0.03245265126570608,0.04992511233150274,0.027503793626707133
Shopping,0.020531448651636593,0.03643469908250803,0.013471177944862155,0.02054442732408834,0.028362349339965565,0.022974308300395256,0.009287925696594427,0.04355960662029264,0.03483742534837425,0.06585646247331253,0.016463398572294077,0.017473789316025962,0.038505311077389984
Finance,0.013858727839854701,0.009638634030008943,0.020676691729323307,0.02824858757062147,0.005165486894968433,0.009325592885375494,0.006191950464396285,0.005996641880546894,0.024220305242203054,0.01395959927738545,0.014066327740168059,0.012481278082875686,0.025606980273141122
Adult,0.0015793422039720457,0.0007618164353615316,0.02662907268170426,0.008731381612737545,0.005548115553854984,0.009572628458498024,0.006191950464396285,0.007387862796833773,0.0048108825481088255,0.0008211528986697323,0.014092669177883729,0.032950574138791815,0.0028452200303490135
Beauty & Fitness,0.011015911872705019,0.02186081944950482,0.005952380952380952,0.01027221366204417,0.013344174478668452,0.009078557312252964,0.0030959752321981426,0.015591268889421923,0.008128732581287325,0.009032681885367055,0.007033163870084029,0.010484273589615577,0.00853566009104704
News,0.03415327516089549,0.023483819681361994,0.020676691729323307,0.03954802259887006,0.014874689114214655,0.01432806324110672,0.034055727554179564,0.031326457183976975,0.02687458526874585,0.015930366234192805,0.013908279113874036,0.025961058412381426,0.03528072837632777
Books & Literature,0.040983930193074586,0.02355006458878474,0.009398496240601503,0.005649717514124294,0.026305720298450352,0.031373517786561264,0.015479876160990712,0.018949388342528184,0.003981420039814201,0.033995730004926915,0.012406817164080815,0.019470793809286072,0.041350531107739
Online Communities,0.008725865676945553,0.013547083567950714,0.16885964912280702,0.007190549563430919,0.02114023340348192,0.019268774703557312,0.015479876160990712,0.018757495802350685,0.006469807564698076,0.017408441451798325,0.019650712535890208,0.012980529206190713,0.007207890743550834
Law & Government,0.017886050459983416,0.020204696763936273,0.013471177944862155,0.02054442732408834,0.013535488808111727,0.014019268774703558,0.05572755417956656,0.023266970496521946,0.0185799601857996,0.023977664641156183,0.012406817164080815,0.010983524712930605,0.022382397572078907
Sensitive Subjects,0.007857227464760927,0.005034612964128383,0.0037593984962406013,0.004108885464817668,0.010044002295771954,0.007472826086956522,0.02476780185758514,0.01751019429119693,0.011778367617783676,0.00837575956643127,0.009298527513631694,0.00798801797304044,0.015174506828528073
Science,0.07493978757847357,0.08469411413997549,0.03289473684210526,0.03184386235233693,0.059690070786301896,0.05045701581027668,0.04024767801857585,0.026864955624850084,0.043132050431320505,0.05107571029725735,0.10578721386613281,0.06040938592111832,0.07682094081942337
Hobbies & Leisure,0.015477553598926047,0.019972839587956676,0.015664160401002505,0.015408320493066256,0.023101205280275493,0.022850790513833992,0.006191950464396285,0.03770688414487887,0.022395487723954877,0.04220725899162424,0.016542422885441086,0.008986520219670495,0.008725341426403643
Games,0.008173095905555336,0.02116524792156603,0.015350877192982455,0.03954802259887006,0.10182705184618328,0.056818181818181816,0.01238390092879257,0.007579755337011274,0.027206370272063702,0.01395959927738545,0.030687774938756157,0.09885172241637544,0.02484825493171472
Jobs & Education,0.09215461760176887,0.10887350534927627,0.1275062656641604,0.07909604519774012,0.05184618327912761,0.05885622529644269,0.07739938080495357,0.09378747901175342,0.0577305905773059,0.18640170799802924,0.10784184600795511,0.06989515726410385,0.11760242792109256
Autos & Vehicles,0.006159434595490978,0.011261634261866119,0.008145363408521303,0.007704160246533128,0.007939544671895926,0.006175889328063241,0.01238390092879257,0.0036939313984168864,0.009953550099535502,0.004598456232550501,0.004715117351105023,0.0199700449326011,0.07511380880121396
Computers & Electronics,0.02250562640660165,0.03891888311086085,0.05482456140350877,0.015408320493066256,0.06031184235699254,0.07071393280632411,0.021671826625386997,0.010362197169585032,0.09787657597876576,0.03186073246838561,0.13802913363011354,0.05292061907139291,0.05026555386949924
People & Society,0.029217830773482844,0.03434798449869166,0.022556390977443608,0.028762198253723677,0.04285440979529367,0.03841403162055336,0.15789473684210525,0.06284480690813145,0.04462508294625083,0.04959763507965183,0.03830045043858494,0.0454318522216675,0.02940060698027314
Reference,0.29359971571840326,0.09966546321751515,0.06328320802005012,0.07601438109912687,0.10345322364645113,0.0684288537549407,0.2043343653250774,0.1036699448308947,0.06867949568679496,0.09344719986861554,0.05365750862682085,0.08437343984023964,0.08061456752655538
Internet & Telecom,0.01618825759071347,0.01805173727269716,0.046052631578947366,0.01746276322547509,0.015209489190740387,0.022974308300395256,0.0030959752321981426,0.024562245142720075,0.028035832780358327,0.015930366234192805,0.05270921686905671,0.054418372441337994,0.025606980273141122
Real Estate,0.0014608915386741422,0.0013248981484548375,0.0009398496240601503,0.0015408320493066256,0.000526114405969007,0.0009263833992094861,0.0,0.002590549292396258,0.0036496350364963502,0.0013138446378715717,0.0012380475726365145,0.0,0.0017071320182094083
